# This document produced by structureHarvester core version vB.1 July 2022
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vB.1 July 2022
# File generated at 2024-Sep-10 17:34:48 EEST
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	20	-2098.160000	0.472841
100K+_run_98_f	98	5	-840.2	-752.5	175.4
100K+_run_92_f	92	5	-845.7	-752.5	186.3
100K+_run_96_f	96	5	-847.8	-750.1	195.5
100K+_run_85_f	85	5	-841.0	-751.6	178.7
100K+_run_81_f	81	5	-845.2	-752.1	186.3
100K+_run_91_f	91	5	-845.3	-750.4	189.9
100K+_run_95_f	95	5	-839.4	-752.2	174.4
100K+_run_106_f	106	6	-848.0	-754.8	186.5
100K+_run_108_f	108	6	-847.6	-751.9	191.5
100K+_run_102_f	102	6	-842.6	-754.7	175.8
100K+_run_118_f	118	6	-858.2	-754.2	208.0
100K+_run_112_f	112	6	-847.3	-752.7	189.2
100K+_run_116_f	116	6	-1724.1	-786.5	1875.1
100K+_run_105_f	105	6	-847.1	-752.6	189.1
100K+_run_120_f	120	6	-842.8	-754.5	176.6
100K+_run_101_f	101	6	-1075.2	-760.0	630.3
100K+_run_111_f	111	6	-846.8	-753.0	187.5
100K+_run_115_f	115	6	-849.6	-755.3	188.6
100K+_run_104_f	104	6	-857.8	-750.8	214.0
100K+_run_110_f	110	6	-840.6	-754.0	173.3
100K+_run_114_f	114	6	-845.0	-751.7	186.5
100K+_run_107_f	107	6	-849.5	-751.7	195.6
100K+_run_103_f	103	6	-846.9	-752.4	189.1
100K+_run_109_f	109	6	-853.3	-750.7	205.3
100K+_run_113_f	113	6	-845.1	-752.1	186.2
100K+_run_119_f	119	6	-863.4	-753.5	219.8
100K+_run_117_f	117	6	-840.2	-756.3	167.6
100K+_run_27_f	27	2	-931.3	-864.1	134.4
100K+_run_29_f	29	2	-920.5	-864.1	112.8
100K+_run_23_f	23	2	-921.1	-863.8	114.6
100K+_run_39_f	39	2	-920.8	-864.1	113.4
100K+_run_33_f	33	2	-923.5	-864.1	118.9
100K+_run_37_f	37	2	-923.9	-864.0	119.8
100K+_run_24_f	24	2	-926.0	-863.9	124.1
100K+_run_30_f	30	2	-926.9	-864.0	125.8
100K+_run_34_f	34	2	-923.6	-863.9	119.4
100K+_run_25_f	25	2	-925.3	-864.0	122.5
100K+_run_21_f	21	2	-929.8	-864.0	131.6
100K+_run_40_f	40	2	-922.7	-864.0	117.3
100K+_run_31_f	31	2	-924.7	-864.0	121.4
100K+_run_35_f	35	2	-925.8	-864.2	123.2
100K+_run_26_f	26	2	-929.5	-864.1	130.9
100K+_run_22_f	22	2	-923.1	-864.0	118.2
100K+_run_28_f	28	2	-922.6	-864.0	117.3
100K+_run_32_f	32	2	-920.0	-864.0	112.1
100K+_run_38_f	38	2	-922.8	-864.0	117.6
100K+_run_36_f	36	2	-928.3	-864.0	128.6
100K+_run_167_f	167	9	-855.5	-757.2	196.6
100K+_run_180_f	180	9	-848.6	-756.7	183.8
100K+_run_163_f	163	9	-846.8	-759.1	175.4
100K+_run_169_f	169	9	-851.3	-757.8	186.8
100K+_run_173_f	173	9	-858.6	-757.8	201.6
100K+_run_179_f	179	9	-842.5	-759.9	165.3
100K+_run_177_f	177	9	-854.0	-758.6	190.9
100K+_run_164_f	164	9	-849.1	-757.1	184.0
100K+_run_170_f	170	9	-855.5	-758.1	194.8
100K+_run_174_f	174	9	-844.1	-759.2	169.8
100K+_run_165_f	165	9	-846.5	-760.8	171.4
100K+_run_161_f	161	9	-864.2	-757.8	212.8
100K+_run_171_f	171	9	-852.1	-757.5	189.2
100K+_run_175_f	175	9	-858.7	-757.6	202.4
100K+_run_166_f	166	9	-845.3	-758.7	173.2
100K+_run_168_f	168	9	-858.4	-758.7	199.2
100K+_run_162_f	162	9	-851.6	-759.2	184.9
100K+_run_178_f	178	9	-851.4	-756.7	189.4
100K+_run_172_f	172	9	-851.5	-759.1	184.6
100K+_run_176_f	176	9	-880.7	-757.4	246.7
100K+_run_46_f	46	3	-996.5	-826.1	340.7
100K+_run_42_f	42	3	-975.6	-828.1	295.0
100K+_run_48_f	48	3	-972.1	-826.1	291.9
100K+_run_52_f	52	3	-980.7	-827.7	305.9
100K+_run_58_f	58	3	-976.6	-834.6	283.9
100K+_run_56_f	56	3	-958.3	-832.9	250.8
100K+_run_45_f	45	3	-973.0	-827.5	291.0
100K+_run_60_f	60	3	-990.1	-822.6	335.0
100K+_run_41_f	41	3	-972.5	-823.4	298.3
100K+_run_51_f	51	3	-978.4	-826.3	304.1
100K+_run_55_f	55	3	-986.4	-822.5	327.8
100K+_run_44_f	44	3	-952.8	-836.5	232.5
100K+_run_50_f	50	3	-904.9	-840.9	127.9
100K+_run_54_f	54	3	-1003.8	-823.2	361.2
100K+_run_47_f	47	3	-977.0	-823.8	306.5
100K+_run_49_f	49	3	-975.9	-832.7	286.5
100K+_run_43_f	43	3	-937.1	-838.3	197.5
100K+_run_59_f	59	3	-993.5	-823.4	340.1
100K+_run_53_f	53	3	-970.1	-831.7	276.8
100K+_run_57_f	57	3	-987.7	-829.5	316.5
100K+_run_184_f	184	10	-844.2	-761.3	165.7
100K+_run_194_f	194	10	-864.2	-760.8	206.7
100K+_run_190_f	190	10	-848.3	-759.3	178.0
100K+_run_189_f	189	10	-857.2	-762.2	190.0
100K+_run_183_f	183	10	-858.3	-760.0	196.6
100K+_run_187_f	187	10	-850.4	-761.2	178.3
100K+_run_197_f	197	10	-856.8	-762.6	188.4
100K+_run_199_f	199	10	-850.7	-759.3	182.9
100K+_run_193_f	193	10	-850.6	-761.1	179.0
100K+_run_182_f	182	10	-863.0	-759.4	207.1
100K+_run_188_f	188	10	-842.7	-757.1	171.2
100K+_run_200_f	200	10	-864.4	-759.2	210.4
100K+_run_186_f	186	10	-852.2	-759.6	185.3
100K+_run_196_f	196	10	-850.8	-759.6	182.4
100K+_run_192_f	192	10	-856.2	-760.7	191.0
100K+_run_198_f	198	10	-849.5	-759.4	180.2
100K+_run_181_f	181	10	-848.9	-760.4	177.1
100K+_run_185_f	185	10	-851.4	-758.8	185.1
100K+_run_195_f	195	10	-847.4	-759.9	175.0
100K+_run_191_f	191	10	-847.3	-760.7	173.2

Software written by Dent Earl while at EEB Dept, UCLA, BME Dept UCSC
dearl (a) soe ucsc edu
CITATION:
Earl, Dent A. and vonHoldt, Bridgett M. (2012)
STRUCTURE HARVESTER: a website and program for visualizing
STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
Core version: vB.1 July 2022
